date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:43	1490/1490	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2017%20Aug%202025%2014:07:32%20GMT	https://kelbouza-walid.vercel.app/robots.txt		(from )
16:07:43	14643/14643	---MCZ	200	added ('OK')	text/html	etag:W/%22937daaebf8982c384b076302ae608683%22	https://kelbouza-walid.vercel.app/	C:/My%20Web%20Sites/PORTFOL/kelbouza-walid.vercel.app/index.html	(from )
16:07:43	66419/66419	---MCZ	200	added ('OK')	text/css	etag:W/%22accdbde3b79ab05345137cafe7201b9d%22	https://unicons.iconscout.com/release/v4.0.8/css/line.css	C:/My%20Web%20Sites/PORTFOL/unicons.iconscout.com/release/v4.0.8/css/line.css	(from https://kelbouza-walid.vercel.app/)
16:07:44	15897/15897	---MCZ	200	added ('OK')	text/css	etag:W/%22dfe5fe777a44a570edeaf4becb8fe4f6%22	https://kelbouza-walid.vercel.app/assets/css/style.css	C:/My%20Web%20Sites/PORTFOL/kelbouza-walid.vercel.app/assets/css/style.css	(from https://kelbouza-walid.vercel.app/)
16:07:44	13088/13088	---M--	200	added ('OK')	image/png	etag:%225b79aeee73afa6aad2d1121cf12d21bd%22	https://kelbouza-walid.vercel.app/assets/images/favicon.png	C:/My%20Web%20Sites/PORTFOL/kelbouza-walid.vercel.app/assets/images/favicon.png	(from https://kelbouza-walid.vercel.app/)
16:07:44	1116020/1116020	---M--	200	added ('OK')	image/jpeg	etag:%223c5185cc841e0052005cf33fc1dcda7a%22	https://kelbouza-walid.vercel.app/assets/images/avatar.jpg	C:/My%20Web%20Sites/PORTFOL/kelbouza-walid.vercel.app/assets/images/avatar.jpg	(from https://kelbouza-walid.vercel.app/)
16:07:44	27344/27344	---M--	200	added ('OK')	image/jpeg	etag:%2207b77c1b52ce7d3ce856eb930425b8ed%22	https://kelbouza-walid.vercel.app/assets/certeficat%20flutter.jpg	C:/My%20Web%20Sites/PORTFOL/kelbouza-walid.vercel.app/assets/certeficat%20flutter.jpg	(from https://kelbouza-walid.vercel.app/)
16:07:45	38557/38557	---M--	200	added ('OK')	image/jpeg	etag:%220265bd2ec536a1d624cbbeea26671dae%22	https://kelbouza-walid.vercel.app/assets/certeficat%20Data%20Science.jpg	C:/My%20Web%20Sites/PORTFOL/kelbouza-walid.vercel.app/assets/certeficat%20Data%20Science.jpg	(from https://kelbouza-walid.vercel.app/)
16:07:45	240347/240347	---M--	200	added ('OK')	image/jpeg	etag:%22eb7889597e107ea4976fe698fdf72686%22	https://kelbouza-walid.vercel.app/assets/certeficat%20mastering%20Azure.jpg	C:/My%20Web%20Sites/PORTFOL/kelbouza-walid.vercel.app/assets/certeficat%20mastering%20Azure.jpg	(from https://kelbouza-walid.vercel.app/)
16:07:46	84135/84135	---M--	200	added ('OK')	image/png	etag:%220b28a6dbab11f40f75d0bd7f8f5c4697%22	https://kelbouza-walid.vercel.app/assets/certeficat%20small%20business.png	C:/My%20Web%20Sites/PORTFOL/kelbouza-walid.vercel.app/assets/certeficat%20small%20business.png	(from https://kelbouza-walid.vercel.app/)
16:07:46	243976/243976	---M--	200	added ('OK')	image/jpeg	etag:%22a1d42480004051a4365b4d1f62462ba7%22	https://kelbouza-walid.vercel.app/assets/certeficat%20digital%20products%20management.jpg	C:/My%20Web%20Sites/PORTFOL/kelbouza-walid.vercel.app/assets/certeficat%20digital%20products%20management.jpg	(from https://kelbouza-walid.vercel.app/)
16:07:46	9843/9843	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2029%20Apr%202025%2017:16:23%20GMT	https://unpkg.com/typed.js@2.0.16/dist/typed.umd.js	C:/My%20Web%20Sites/PORTFOL/unpkg.com/typed.js@2.0.16/dist/typed.umd.js	(from https://kelbouza-walid.vercel.app/)
16:07:47	4814/4814	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e605e5c9ab22a7de366f503ea2759169%22	https://kelbouza-walid.vercel.app/assets/js/main.js	C:/My%20Web%20Sites/PORTFOL/kelbouza-walid.vercel.app/assets/js/main.js	(from https://kelbouza-walid.vercel.app/)
16:07:47	3941/3941	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f65-QgTrEmUi+vs8zc3Zl23FlAXhF9c%22	https://cdn.jsdelivr.net/npm/@emailjs/browser@4/dist/email.min.js	C:/My%20Web%20Sites/PORTFOL/cdn.jsdelivr.net/npm/@emailjs/browser@4/dist/email.min.js	(from https://kelbouza-walid.vercel.app/)
